,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
16478,29,22,8,1,414,38,378,1447,165,1292,5,1,4,1
16479,17,11,10,4,47,38,13,67,44,19,5,3,2,1
16480,33,33,4,4,182,173,10,790,1014,77,50,49,1,1
16481,107,93,16,2,243,99,149,35464,34851,940,10,2,8,1
16482,16,16,2,2,436,434,3,691,726,43,25,24,1,1
16483,1,1,1,1,1,1,1,5,2,2,2,1,1,1
16484,12,5,4,3,72,31,6,1318,406,269,6,5,1,1
16485,2,1,2,1,93,1,93,135,2,201,74,1,73,1
16486,8,8,3,3,49,45,9,391,724,35,6,5,1,1
16487,16,11,6,1,45,33,13,167,186,29,12,7,5,1
16488,1,1,1,1,3,1,3,9,3,5,3,1,2,1
16489,29,8,23,2,87,35,53,286,207,90,9,7,2,1
16490,1,1,1,1,6,1,6,11,2,10,8,1,7,1
16491,207,20,192,5,662,211,454,2816,1301,1998,99,27,72,1
16492,73,71,19,17,311,308,20,658,606,46,13,8,5,1
16493,26,16,11,1,155,47,109,3215,2793,598,5,4,1,1
16494,89,84,4,2,284,193,96,31435,23528,20540,49,48,3,1
16495,22,11,1,1,126,62,1,788,378,2,7,6,1,1
16496,20,17,5,2,330,324,9,22937,21426,6578,13,12,1,1
16497,43,11,37,5,449,55,396,9263,526,26374,28,7,21,1
16498,50,1,50,1,749,1,748,8431,9,8641,26,1,25,1
16499,62,30,35,3,92,37,57,1439,123,1468,10,4,6,1
16500,2,2,1,1,13,13,1,40,35,4,3,2,1,1
16501,1,1,1,1,6,3,4,22,10,11,3,1,2,1
16502,14,13,1,1,94,93,1,405,399,39,3,2,1,1
16503,87,48,52,13,301,110,204,1491,449,1112,34,17,17,1
16504,13,13,2,2,63,59,6,203,219,9,7,4,3,1
16505,8,8,1,1,26,26,1,121,169,16,19,18,1,1
16506,186,18,173,5,915,33,884,52495,42817,11287,158,3,155,1
16507,131,1,131,1,622,1,622,1801,10,1983,50,1,49,1
16508,1,1,1,1,1,1,1,5,2,2,2,1,1,1
16509,271,1,271,1,506,1,506,54998,3,65446,156,1,155,1
16510,21,1,21,1,101,3,99,1359,9,1746,8,1,7,1
16511,15,14,3,2,47,45,3,593,584,14,7,6,1,1
16512,5,1,5,1,50,1,50,124,4,231,24,1,23,1
16513,67,2,65,1,171,17,154,682,21,689,32,2,30,1
16514,34,2,34,2,154,4,151,881,48,1021,55,1,54,1
16515,5,1,5,1,24,1,24,82,4,114,14,1,13,1
16516,17,5,15,3,71,11,62,3013,8461,8051,55,23,32,1
16517,52,48,11,7,778,757,27,5886,6811,147,58,52,6,1
16518,154,26,144,16,5070,529,4586,35304,3567,84890,229,6,225,1
16519,199,196,9,6,360,350,14,2733,3426,36,66,60,6,1
16520,118,117,2,1,247,245,4,1279,2073,17,53,52,1,1
16521,32,14,21,3,242,17,227,8933,1432,7619,75,1,74,1
16522,118,117,2,1,247,245,4,1279,2073,17,53,52,1,1
16523,25,25,1,1,52,52,1,129,117,11,2,1,1,1
16524,13,1,13,1,16,1,16,61,6,55,13,1,12,1
16525,5,4,2,1,5,4,2,20,12,8,5,3,2,1
16526,11,11,4,4,26,21,8,72,41,30,6,2,4,1
16527,112,112,2,2,435,435,2,3910,3498,485,12,10,2,1
16528,1,1,1,1,6,5,3,20,21,7,12,9,3,1
16529,32,32,1,1,51,51,1,173,260,4,23,22,1,1
16530,21,1,21,1,64,1,64,357,5,1280,56,1,55,1
16531,8,8,3,3,65,61,7,687,823,84,12,10,2,1
16532,7,5,3,1,42,38,4,445,357,11,6,5,1,1
16533,13,8,6,1,101,91,11,190,172,17,4,2,2,1
16534,52,52,1,1,107,107,1,1659,1659,16,8,7,1,1
16535,12,1,12,1,66,1,66,145,5,159,11,1,10,1
16536,10,10,1,1,12,12,1,270,226,43,2,1,1,1
16537,69,37,36,4,2136,514,1784,11966,2279,10616,29,4,26,1
16538,8,7,2,1,52,50,4,3218,3244,13,10,5,5,1
16539,202,202,1,1,1255,1234,22,12864,35916,98,443,442,1,1
16540,5,3,4,2,33,20,14,170,87,106,11,5,6,1
