,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
13568,2,1,2,0,0,0,2,1,1,0,0,0,2,1,2,1,98,47,9,7,390,174,34,17220,8248,402,8,1,8,1
13569,1,0,1,5,4,2,0,0,0,6,4,2,6,4,3,1,51,18,37,4,70,32,41,258,76,187,24,12,12,1
13570,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,3,2,2,1,8,6,2,24,14,4,2,1,1,1
13571,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,1,5,3,3,1,9,7,3,18,10,7,4,1,3,1
13572,2,0,2,6,1,6,1,1,1,7,0,7,8,1,8,1,10,1,10,1,86,1,86,463,3,635,44,1,43,1
13573,2,2,1,4,4,0,1,0,0,5,5,0,6,6,1,1,4,4,1,1,12,11,2,24,26,3,16,14,2,1
13574,2,0,2,7,2,6,0,0,0,9,2,7,9,2,8,1,117,40,90,13,542,64,482,3710,245,7168,144,21,123,1
13575,3,3,1,2,2,0,1,0,0,4,4,0,5,5,1,1,19,17,3,1,341,337,5,574,711,47,32,27,5,1
13576,4,0,4,2,1,1,1,1,1,5,0,5,6,1,5,0,96,38,63,5,995,246,770,10763,732,17917,44,3,41,1
13577,1,1,0,4,3,1,2,1,1,3,3,0,5,4,1,0,32,16,2,2,1634,816,3,12824,12153,132,57,56,1,1
13578,2,0,2,20,1,19,2,1,1,20,0,20,22,1,21,0,123,2,123,2,4770,3,4768,36146,81,48756,128,2,126,1
13579,1,1,0,5,5,1,1,0,0,5,5,0,6,6,1,1,13,13,1,1,18,18,2,67,82,4,11,10,1,1
13580,1,0,1,11,1,10,2,1,1,10,0,10,12,1,11,0,29,3,27,1,469,30,440,4756,2068,13456,110,11,99,1
13581,0,0,0,9,1,8,1,1,1,8,0,8,9,1,8,0,6,1,6,1,9,1,9,24,3,48,15,1,14,1
13582,2,1,1,2,0,2,1,1,1,3,0,3,4,1,3,0,18,2,8,1,64,3,30,194,4,92,13,2,11,1
13583,3,0,3,13,1,12,1,1,1,15,0,15,16,1,15,0,66,3,66,3,109,4,106,704,12,768,34,2,32,1
13584,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,63,57,10,4,65,57,12,83,61,18,4,1,3,1
13585,0,0,0,5,1,4,1,1,1,4,0,4,5,1,4,0,2,1,2,1,3,1,3,16,7,16,5,1,4,1
13586,0,0,0,22,21,3,1,0,0,21,20,1,22,21,3,2,591,569,128,107,3306,3205,220,27285,27944,1230,75,63,13,1
