,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
50516,50517,55,70061,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,9,0,9,0,21,0,21,87,0,93,7,0,7
75325,75326,101,130465,0,2,2,0,15,14,1,1,0,0,16,16,0,17,16,1,0,26,24,2,0,52,50,2,337,181,224,25,23,2
75155,75156,101,129853,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,4,4,0,4,4,0,3,3,0
70041,70042,89,115337,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,34,34,0,1,1,0
8699,8700,9,52532,0,0,0,0,6,2,4,0,0,0,6,2,4,3,1,2,0,5,1,4,0,71,45,26,460,136,3458,17,1,16
3654,3655,7,73599,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,8,0,8,1,0,1
23160,23161,17,41111,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,46,0,46,1,0,1
63147,63148,77,102948,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,3,1,2,0,11,2,9,158,6,220,3,1,2
57662,57663,63,92969,0,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,3,1,2,0,3,1,2,11,1,10,2,1,1
22117,22118,17,12164,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,5,5,0,20,20,0,3,3,0
75510,75511,101,131024,0,2,2,0,1,1,0,3,0,3,0,0,0,3,3,0,0,3,3,0,0,14,14,0,124,124,0,4,4,0
73086,73087,94,111316,0,0,0,0,3,3,1,1,0,0,2,2,0,3,3,1,1,1,1,1,1,4,3,1,4,3,1,4,3,1
52937,52938,57,30509,0,1,1,0,2,2,0,3,0,3,0,0,0,3,3,0,0,4,4,0,0,4,4,0,5,5,0,3,3,0
47546,47547,48,6640,0,0,0,0,2,2,0,2,1,2,0,0,0,2,2,0,0,3,3,0,0,5,5,0,57,80,0,3,3,0
35664,35665,30,1835,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0
21403,21404,16,48021,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0
29177,29178,23,19173,0,1,1,0,1,1,1,1,0,0,1,1,0,2,2,1,1,3,2,2,1,6,4,2,9,4,5,6,4,2
60333,60334,70,97098,0,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,159,156,3,0,1333,1325,8,5962,5890,100,5,1,4
6894,6895,9,27118,0,0,0,0,10,8,2,0,0,0,10,8,2,5,4,1,0,3,3,1,1,37,34,3,55,100,10,6,5,1
54354,54355,57,75192,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,4,4,0,12,12,0,2,2,0
50308,50309,55,47446,0,5,5,1,5,5,0,1,0,0,9,9,0,10,10,1,1,101,98,4,1,582,563,19,3600,5631,567,217,206,11
16233,16234,13,76307,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,8,8,0,95,95,0,1,1,0
34774,34775,28,5132,0,2,1,1,1,0,1,2,1,1,1,0,1,3,1,2,0,15,14,3,2,89,72,17,195,284,17,22,20,2
28478,28479,23,12097,0,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,5,1,4,0,5,1,4,24,1,23,2,1,1
7032,7033,9,29475,0,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,4,4,0,0,14,14,0,49,98,0,4,4,0
22565,22566,17,24163,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,9,9,0,0,37,37,0,204,220,0,2,2,0
70508,70509,89,117569,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,6,1,5,0,20,1,19,47,1,65,3,1,2
