,ms_id,n_chunks,n_conf_chunks,loc_conf,loc_safe,avg_loc_chunks,avg_loc_conf_chunks,avg_loc_safe_chunks
98,2110.0,29.0,1.0,12.0,310.0,11.10344827586207,12.0,11.071428571428571
99,2120.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
100,2122.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
101,2129.0,7.0,1.0,10.0,85.0,13.571428571428571,10.0,14.166666666666666
102,2138.0,291.0,0.0,0.0,96692.0,332.2749140893471,0.0,332.2749140893471
103,2142.0,1140.0,12.0,48.0,2382.0,2.1315789473684212,4.0,2.1117021276595747
104,2152.0,18.0,1.0,7.0,38.0,2.5,7.0,2.235294117647059
105,2195.0,8.0,0.0,0.0,11.0,1.375,0.0,1.375
106,2196.0,14.0,0.0,0.0,68.0,4.857142857142857,0.0,4.857142857142857
107,2198.0,50.0,0.0,0.0,63.0,1.26,0.0,1.26
108,2203.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
109,2236.0,22.0,3.0,12.0,325.0,15.318181818181818,4.0,17.105263157894736
110,2237.0,11.0,1.0,12.0,45.0,5.181818181818182,12.0,4.5
111,2280.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
112,2295.0,3.0,0.0,0.0,18.0,6.0,0.0,6.0
113,2328.0,5.0,0.0,0.0,6.0,1.2,0.0,1.2
114,2329.0,193.0,4.0,85.0,16803.0,87.50259067357513,21.25,88.9047619047619
115,2333.0,6.0,1.0,16.0,23.0,6.5,16.0,4.6
116,2394.0,9.0,0.0,0.0,38.0,4.222222222222222,0.0,4.222222222222222
117,2401.0,2.0,1.0,4.0,1.0,2.5,4.0,1.0
118,2404.0,40.0,1.0,10.0,244.0,6.35,10.0,6.256410256410256
119,2430.0,436.0,12.0,78.0,4977.0,11.594036697247706,6.5,11.73820754716981
120,2450.0,84.0,1.0,4.0,157.0,1.9166666666666667,4.0,1.891566265060241
121,2476.0,2.0,0.0,0.0,34.0,17.0,0.0,17.0
122,2484.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
123,2488.0,5.0,0.0,0.0,788.0,157.6,0.0,157.6
124,2489.0,8.0,0.0,0.0,80.0,10.0,0.0,10.0
125,2502.0,73.0,3.0,1583.0,139.0,23.589041095890412,527.6666666666666,1.9857142857142858
126,2513.0,54.0,3.0,86.0,741.0,15.314814814814815,28.666666666666668,14.529411764705882
127,2518.0,1170.0,6.0,24.0,2538.0,2.18974358974359,4.0,2.1804123711340204
128,2543.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
129,2556.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0
130,2560.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0
131,2563.0,72.0,1.0,12.0,493.0,7.013888888888889,12.0,6.943661971830986
132,2573.0,255.0,1.0,778.0,506.0,5.035294117647059,778.0,1.9921259842519685
133,2581.0,78.0,0.0,0.0,516.0,6.615384615384615,0.0,6.615384615384615
134,2600.0,613.0,4.0,33.0,3676.0,6.0505709624796085,8.25,6.036124794745485
135,2609.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
136,2641.0,186.0,6.0,24.0,3108.0,16.838709677419356,4.0,17.266666666666666
137,2646.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
138,2655.0,23.0,0.0,0.0,137.0,5.956521739130435,0.0,5.956521739130435
139,2660.0,29.0,1.0,13.0,53.0,2.2758620689655173,13.0,1.8928571428571428
