,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
10673,10674,11,66717,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,8,8,1,1,20,19,2,201,205,21,5,4,1
35683,35684,30,2237,1,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,4,3,2,1,11,4,8,62,10,51,2,1,1
54776,54777,57,76388,1,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,319,2,318,1,1118,3,1116,2672,66,2605,7,1,6
40417,40418,36,69428,1,3,1,2,15,0,15,1,1,1,17,0,17,18,1,17,0,133,77,75,19,293,153,194,9392,7386,6309,55,6,49
54823,54824,57,76524,1,1,1,0,32,31,1,1,0,0,32,32,0,33,32,1,0,1609,1603,7,1,5664,5630,36,49952,118038,199,282,278,4
8738,8739,9,69760,1,0,0,0,4,4,2,0,0,0,4,4,0,2,2,1,1,8,7,3,3,86,69,19,970,2582,80,6,4,2
34346,34347,25,69898,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,28,11,23,6,194,43,155,826,69,887,8,2,6
68382,68383,88,109803,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,3,1,3,1,3,1,3,10,4,6,3,1,2
4255,4256,7,74806,1,8,0,8,21,1,20,1,1,1,28,0,28,29,1,28,0,17,2,17,2,123,2,123,826,51,1394,66,1,65
10954,10955,12,10976,1,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,26,24,4,2,42,35,8,357,1255,101,21,15,6
60171,60172,70,63726,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,15,10,6,1,70,55,16,486,541,91,12,8,4
10997,10998,12,16840,1,1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,16,15,3,2,34,32,3,100,103,7,14,13,1
34395,34396,25,71629,1,0,0,0,2,1,2,2,1,1,0,0,0,2,1,2,1,99,8,78,4,1005,73,935,4706,507,5838,60,2,59
24600,24601,18,1879,1,1,1,0,6,5,1,1,0,0,6,6,0,7,6,1,0,1,1,1,1,17,17,1,50,57,3,12,11,1
77210,77211,101,143875,1,6,6,1,14,14,0,1,0,0,19,19,0,20,20,1,1,40,40,1,1,152,135,19,1272,3721,67,66,65,1
18477,18478,14,74580,1,3,1,2,10,0,10,1,1,1,12,0,12,13,1,12,0,45,3,44,2,245,32,218,1201,333,1024,24,2,22
19590,19591,16,12780,1,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,8,8,4,4,23,13,12,391,304,87,2,1,1
27496,27497,19,82044,1,1,1,1,2,2,0,1,0,0,2,2,0,3,3,1,1,17,17,1,1,36,36,1,170,171,2,12,11,1
27240,27241,19,80437,1,1,1,1,6,3,4,0,0,0,7,4,3,7,4,5,2,55,42,23,10,196,156,52,842,645,279,23,12,11
25603,25604,19,38132,1,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,7,5,4,2,35,6,30,237,70,166,5,2,3
3979,3980,7,74435,1,3,0,3,5,1,4,1,1,1,7,0,7,8,1,7,0,7,1,7,1,40,1,40,393,9,389,12,1,11
68969,68970,88,113682,1,5,1,5,9,3,6,0,0,0,14,4,10,14,4,11,1,393,24,376,7,577,49,530,1458,229,1716,43,5,38
