,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
442,1,1,0,0,1,1,0,1,1,0,1,1,0,0
443,1,0,1,0,6,0,6,13,0,13,1,0,1,0
444,9,9,0,0,138,138,0,319,319,0,1,1,0,0
445,2,0,2,0,4,0,4,11,0,11,2,0,2,0
446,5,2,3,0,9,6,3,85,43,42,2,1,1,0
447,1,1,0,0,1,1,0,1,1,0,1,1,0,0
448,3,2,1,0,4,3,1,8,14,2,4,3,1,0
449,5,5,0,0,15,15,0,87,87,0,1,1,0,0
450,2,1,1,0,4,3,1,18,17,1,2,1,1,0
451,14,12,2,0,49,45,4,336,371,24,9,8,1,0
452,1,1,0,0,1,1,0,6,6,0,1,1,0,0
453,17,15,2,0,53,33,20,2328,272,2112,25,23,2,0
454,11,11,0,0,26,26,0,106,140,0,12,12,0,0
455,2,2,0,0,3,3,0,15,15,0,1,1,0,0
456,10,7,4,1,27,11,16,55,26,43,11,5,6,0
457,1,0,1,0,1,0,1,2,0,2,1,0,1,0
458,1,1,0,0,1,1,0,1,1,0,1,1,0,0
459,53,53,0,0,86,86,0,410,410,0,1,1,0,0
460,59,58,1,0,68,67,1,2627,2626,1,6,5,1,0
461,2,0,2,0,6,0,6,6,0,6,2,0,2,0
462,8,4,4,0,30,24,6,90,79,11,3,1,2,0
463,17,13,4,0,29,21,8,124,200,22,9,7,2,0
464,1,1,0,0,2,2,0,2,4,0,1,1,0,0
465,8,8,0,0,24,24,0,181,181,0,1,1,0,0
466,2,2,1,1,49,48,1,84,99,1,18,17,1,0
467,2,1,1,0,5,1,4,7,1,6,2,1,1,0
468,10,0,10,0,32,0,32,167,0,167,3,0,3,0
469,1,0,1,0,2,0,2,2,0,2,2,0,2,0
470,11,10,1,0,21,19,2,66,56,10,7,5,2,0
471,46,45,2,1,152,146,6,1018,1256,45,43,42,1,0
472,4,3,1,0,10,6,4,73,57,16,3,2,1,0
473,318,318,0,0,1154,1154,0,10674,18510,0,191,191,0,0
474,6,0,6,0,11,0,11,135,0,135,1,0,1,0
475,4,2,2,0,5,2,3,24,18,9,4,1,3,0
476,2,2,0,0,5,5,0,16,16,0,2,2,0,0
477,1,0,1,0,1,0,1,2,0,4,1,0,1,0
478,2,2,0,0,148,148,0,249,249,0,1,1,0,0
479,1,1,0,0,4,4,0,17,17,0,1,1,0,0
480,2,2,0,0,3,3,0,7,7,0,2,2,0,0
481,56,55,1,0,144,143,1,2931,7230,2,126,124,2,0
482,2,1,1,0,3,1,2,4,1,3,2,1,1,0
483,2,2,0,0,10,10,0,22,22,0,1,1,0,0
484,3,0,3,0,17,0,17,37,0,37,15,0,15,0
485,62,0,62,0,169,0,169,1628,0,5591,77,0,77,0
486,9,8,1,0,23,21,2,58,54,4,10,9,1,0
487,20,19,2,1,355,353,2,1166,1157,33,6,3,3,0
488,1,1,0,0,1,1,0,1,1,0,1,1,0,0
489,1,1,1,1,49,47,2,78,112,7,33,31,2,0
490,59,59,0,0,153,153,0,788,888,0,28,28,0,0
491,2,2,0,0,2,2,0,3,5,0,2,2,0,0
492,7,4,3,0,7,4,3,57,29,28,3,3,2,0
493,6,4,2,0,66,49,17,236,212,24,2,1,1,0
494,3,3,0,0,26,26,0,54,62,0,2,2,0,0
495,1,1,0,0,1,1,0,5,10,0,1,1,0,0
496,2,2,0,0,3,3,0,3,3,0,2,2,0,0
497,1,1,0,0,2,2,0,62,62,0,1,1,0,0
498,4,2,2,0,17,6,11,18,7,11,4,2,2,0
499,2,2,0,0,2,2,0,2,2,0,1,1,0,0
500,9,9,1,1,123,118,5,299,478,120,9,8,1,0
501,11,1,10,0,34,3,31,504,4,500,2,1,1,0
502,1,1,1,1,2,1,1,2,1,1,2,1,1,0
503,3,3,1,1,35,33,2,254,239,15,6,5,1,0
504,1,0,1,0,2,0,2,2,0,2,2,0,2,0
505,11,1,10,0,63,1,62,208,1,207,2,1,1,0
506,1,1,0,0,6,6,0,21,29,0,3,3,0,0
507,15,14,1,0,33,31,2,45,41,4,9,7,2,0
508,2,1,1,0,4,3,1,7,5,2,3,2,1,0
509,9,0,9,0,19,0,19,41,0,44,5,0,5,0
510,363,363,0,0,2201,2201,0,359641,386203,0,541,541,0,0
511,3,2,1,0,3,2,1,52,102,1,5,4,1,0
512,12,12,0,0,12,12,0,12,12,0,1,1,0,0
513,3,0,3,0,11,0,11,86,0,86,2,0,2,0
514,107,106,1,0,689,688,1,8025,83867,13,180,179,1,0
515,12,0,12,0,72,0,72,256,0,258,6,0,6,0
516,22,19,3,0,95,82,13,978,904,74,4,3,1,0
517,9,9,0,0,51,51,0,191,191,0,2,2,0,0
518,8,7,1,0,13,12,1,65,68,2,7,6,1,0
519,7,3,4,0,10,5,5,92,53,39,4,2,2,0
520,1,1,0,0,3,3,0,11,11,0,1,1,0,0
521,1,1,0,0,8,8,0,161,449,0,3,3,0,0
522,14,10,4,0,123,33,90,327,53,274,5,4,1,0
523,3,1,2,0,5,1,4,7,1,6,2,1,1,0
524,4,4,0,0,12,12,0,48,80,0,2,2,0,0
525,2,2,0,0,3,3,0,7,7,0,1,1,0,0
526,1,1,0,0,2,2,0,5,5,0,2,2,0,0
527,3,1,2,0,5,1,4,5,1,4,3,1,2,0
528,6,2,4,0,29,19,10,142,74,126,6,2,4,0
529,10,7,3,0,25,14,11,149,128,21,4,2,2,0
530,3,2,1,0,10,9,1,33,26,7,2,1,1,0
531,2,2,0,0,3,3,0,278,278,0,1,1,0,0
532,4,0,4,0,23,0,23,103,0,177,8,0,8,0
533,37,36,1,0,80,79,1,392,413,1,32,31,1,0
534,10,10,0,0,13,13,0,499,499,0,8,8,0,0
535,363,10,353,0,372,10,362,78644,14492,78492,53,30,23,0
536,1,0,1,0,1,0,1,2,0,2,1,0,1,0
537,1,1,0,0,1,1,0,1,2,0,1,1,0,0
538,3,2,1,0,506,505,1,14556,7530,7026,1,1,1,0
539,3,0,3,0,3,0,3,30,0,30,1,0,1,0
540,13,2,11,0,30,4,26,103,4,127,20,3,17,0
541,5,4,1,0,60,58,2,84,82,2,3,2,1,0
542,8,0,8,0,16,0,16,45,0,45,5,0,5,0
543,1,1,0,0,1,1,0,2,2,0,1,1,0,0
544,7,3,4,0,12,5,7,124,52,89,3,1,2,0
545,2,0,2,0,3,0,3,64,0,64,1,0,1,0
546,80,79,2,1,359,357,2,2909,11073,259,201,198,3,0
547,8,8,0,0,16,16,0,43,48,0,6,6,0,0
548,2,2,0,0,3,3,0,13,13,0,1,1,0,0
549,6,1,2,0,8,1,3,14,4,3,2,1,1,0
550,15,15,1,1,62,61,1,199,396,2,35,34,1,0
551,1,1,0,0,39,39,0,705,1864,0,2,2,0,0
552,3,2,1,0,3,2,1,6,5,1,2,1,1,0
553,4,3,1,0,7,5,2,10,7,5,6,3,3,0
554,1,0,1,0,5,0,5,51,0,51,1,0,1,0
555,9,8,1,0,20,18,2,120,111,9,9,8,1,0
556,9,7,3,1,19,9,10,188,167,21,4,2,2,0
557,1,1,0,0,1,1,0,1,2,0,2,2,0,0
558,79,0,79,0,264,0,264,2091,0,2370,30,0,30,0
559,13,13,0,0,17,17,0,495,495,0,4,4,0,0
560,1,0,1,0,1,0,1,1,0,1,1,0,1,0
561,1,1,0,0,3,3,0,3,3,0,1,1,0,0
562,9,9,0,0,35,35,0,172,221,0,7,7,0,0
563,2,2,0,0,3,3,0,14,25,0,2,2,0,0
564,1,1,1,1,3,1,2,3,2,4,3,1,2,0
565,119,0,119,0,398,0,398,3412,0,5258,88,0,88,0
566,3,2,1,0,3,2,1,7,6,1,2,1,1,0
567,79,7,73,1,243,24,219,2223,44,5344,61,2,59,0
568,2,1,1,0,2,1,1,2,1,1,2,1,1,0
569,2,1,1,0,7,6,1,10,6,4,7,6,1,0
570,2,2,0,0,2,2,0,38,134,0,5,5,0,0
571,2,2,0,0,2,2,0,2,2,0,1,1,0,0
572,6,5,1,0,14,13,1,54,52,2,4,3,1,0
573,17,15,2,0,34,30,4,51,46,5,3,2,1,0
574,1,1,0,0,1,1,0,1,1,0,1,1,0,0
575,684,682,2,0,2917,2893,24,91350,200110,329,297,294,3,0
576,3,2,1,0,3,2,1,3,2,1,3,2,1,0
577,3,1,2,0,5,2,3,299,2,297,3,1,2,0
578,7,1,6,0,35,1,34,142,1,209,4,1,3,0
579,30,30,0,0,39,39,0,652,652,0,10,10,0,0
580,8,1,7,0,24,4,20,246,18,228,2,1,1,0
581,1,1,0,0,1,1,0,2,2,0,1,1,0,0
582,1,0,1,0,1,0,1,2,0,2,1,0,1,0
583,14,0,14,0,44,0,44,186,0,2887,113,0,113,0
584,8,7,1,0,125,123,2,175,172,5,3,1,2,0
585,1,1,0,0,1,1,0,1,1,0,1,1,0,0
586,4,2,3,1,13,10,3,207,51,156,2,1,1,0
587,2,0,2,0,2,0,2,2,0,2,2,0,2,0
588,1,0,1,0,3,0,3,3,0,3,1,0,1,0
589,1,1,1,1,7,6,1,11,15,1,6,5,1,0
590,17,16,1,0,47,43,4,424,739,17,24,22,2,0
591,7,5,2,0,33,27,6,81,51,30,3,2,1,0
592,4,4,0,0,23,23,0,95,95,0,1,1,0,0
593,33,0,33,0,68,0,68,2449,0,3769,26,0,26,0
594,3,0,3,0,5,0,5,25,0,69,5,0,5,0
595,28,26,3,1,85,81,4,458,798,39,47,43,4,0
