,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
174,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
175,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
176,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,0
177,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
178,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
179,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
180,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
181,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
182,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
183,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,0
184,1,1,0,8,7,1,2,1,1,7,7,0,9,8,1,0,0
185,1,0,1,1,0,1,2,2,2,0,0,0,2,0,2,0,0
186,3,0,3,0,0,0,3,3,3,0,0,0,3,0,3,0,0
187,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
188,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
189,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,0
190,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
191,0,0,0,3,0,3,3,3,3,0,0,0,3,0,3,0,0
192,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
193,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
194,5,0,5,17,0,17,22,22,22,0,0,0,22,0,22,0,0
195,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
196,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
197,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
198,3,3,0,16,15,1,1,0,0,18,18,0,19,18,1,0,0
199,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
200,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
201,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
202,0,0,0,6,1,5,2,1,1,4,0,4,6,1,5,0,0
203,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
204,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
205,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
206,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
207,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
208,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
209,1,0,1,3,0,3,4,4,4,0,0,0,4,0,4,0,0
