,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
2575,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,0
2576,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2577,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2578,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2579,1,0,1,10,0,10,11,11,10,0,0,0,11,0,11,0,0
2580,1,0,1,4,0,4,5,5,4,0,0,0,5,0,5,0,0
2581,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2582,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2583,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2584,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2585,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2586,3,3,1,0,0,0,2,1,1,1,1,0,3,3,1,1,0
2587,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2588,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
2589,2,0,2,0,0,0,2,2,1,0,0,0,2,0,2,0,0
2590,5,5,0,21,21,0,26,0,26,0,0,0,26,26,0,0,0
2591,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2592,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2593,0,0,0,3,3,0,3,0,3,0,0,0,3,3,0,0,0
2594,2,2,0,30,29,1,2,1,1,30,30,0,32,31,1,0,0
2595,0,0,0,30,28,2,0,0,0,30,28,2,15,14,1,0,0
2596,1,1,1,3,0,3,1,1,0,3,0,3,4,1,4,1,0
2597,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
2598,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2599,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2600,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2601,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2602,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2603,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2604,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2605,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2606,2,2,0,6,5,1,1,0,0,7,7,0,8,7,1,0,0
2607,1,1,1,3,3,0,1,0,0,3,3,0,4,4,1,1,0
2608,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2609,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2610,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,0
2611,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
