,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
2158,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,1,1,1,1,4,2,2,9,7,2,2,1,1,0
2159,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,10,10,0,71,71,0,1,1,0,0
2160,2,2,0,8,7,1,1,0,0,9,9,0,10,9,1,0,22,21,2,1,126,121,5,510,1292,75,27,24,3,0
2161,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,4,0,4,4,0,4,1,0,1,0
2162,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,3,2,1,0,5,4,1,17,7,10,2,1,1,0
2163,0,0,0,6,4,2,0,0,0,6,4,2,3,2,1,0,1,1,1,1,13,5,8,18,14,22,3,2,1,0
2164,2,0,2,3,0,3,5,5,5,0,0,0,5,0,5,0,5,0,5,0,42,0,42,167,0,198,8,0,8,0
2165,1,1,0,4,3,1,2,1,1,3,3,0,5,4,1,0,17,16,1,0,43,42,1,179,328,2,22,21,1,0
2166,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,5,5,0,1,1,0,0
2167,1,1,1,5,0,5,1,1,1,5,0,5,6,1,6,1,32,3,31,3,265,152,112,715,483,240,22,1,21,0
2168,4,4,0,12,11,1,1,0,0,15,15,0,16,15,1,0,69,68,2,1,205,201,4,9217,29017,22,64,63,1,0
2169,1,1,1,3,3,1,0,0,0,4,4,0,4,4,2,2,112,83,29,0,124,95,29,1349,357,1055,27,23,5,0
2170,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,8,5,3,0,31,9,22,101,36,102,7,2,5,0
2171,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,3,3,0,1,1,0,0
2172,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,112,110,2,0,133,130,3,252,278,3,10,9,1,0
2173,1,1,1,10,10,0,1,0,0,10,10,0,11,11,1,1,190,81,109,0,1318,347,971,13521,9617,4351,43,42,1,0
2174,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,41,41,0,60,60,0,1,1,0,0
2175,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,14,13,1,0,14,13,1,18,17,1,2,1,1,0
2176,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,1,14,11,3,0,19,15,4,50,46,4,6,4,2,0
2177,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2178,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,3,0,3,1,0,1,0
2179,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,2,2,0,0
2180,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0,0
2181,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,3,2,1,166,7,159,2,1,1,0
2182,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2183,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,7,7,0,172,172,0,2,2,0,0
2184,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,9,8,1,0,25,24,1,93,92,1,2,1,1,0
